n,Budget,MaxValue,MaxValueDP,MaxValueDP Running Time,2-Approximation,2-Approximation Running Time,MinCostDP,MinCostDP Running Time,FPTAS,FPTAS Running Time
30,9879,858,9435,2613362,9265,13073,9435,1215883,9295,95732
30,6582,996,11814,612912,11814,8441,11814,1440165,11653,102850
30,14051,973,13127,1321516,13127,10479,13127,1276138,12908,91826
30,12534,981,15105,1166956,15082,8452,15105,1438190,14829,125214
30,6069,997,10989,678405,10952,9079,10989,1375329,10834,94175
30,6662,989,13272,633549,13272,7525,13272,1263403,13137,86763
30,1271,989,6070,104318,6070,6585,6070,1333196,5966,97221
30,1627,898,3898,148802,3898,7190,3898,1240127,3831,142110
30,4137,958,8861,371838,8742,7556,8861,1248532,8765,92524
30,5570,971,9741,498980,9741,7348,9741,1469705,9645,91665
30,2707,968,8047,244706,7868,6868,8047,1336772,7969,109091
30,9657,939,13604,892684,13340,7749,13604,1251663,13427,88351
30,13761,986,14946,1241158,14946,8257,14946,1376582,14806,96887
30,9378,873,11276,872832,11252,7208,11276,1415231,11116,88254
30,4068,997,10075,367355,9910,6191,10075,1298654,9970,87512
30,2514,988,6002,216223,6002,6227,6002,1259394,5911,85999
30,10813,993,11537,1007004,11537,6855,11537,1254348,11336,99288
30,12702,986,14227,1149315,14227,8185,14227,1647956,13984,106086
30,12414,970,14549,1252879,14549,9776,14549,1299139,14291,89627
30,2794,985,6685,243071,6435,7242,6685,1328161,6599,86590
30,10582,979,13733,946557,13733,8140,13733,1247368,13510,86106
30,15240,983,14355,1371457,14351,7240,14355,1242337,14187,90715
30,10972,996,14946,981613,14875,7053,14946,1407481,14774,95340
30,8841,984,14279,870434,14136,7209,14279,1557869,14087,133311
30,4851,995,10564,533183,10564,6406,10564,1254814,10447,85240
30,1047,991,5749,83805,5525,5862,5749,1250502,5681,86133
30,7645,964,13352,682071,13297,42210,13352,1275323,13206,125658
30,6521,996,12051,601459,11977,29099,12051,1731681,11935,110427
30,2298,988,8201,197066,7951,26954,8201,3329198,8118,88800
30,6998,945,14229,625623,14138,16911,14229,1189868,14049,86183
30,4777,951,8210,414214,8096,14396,8210,1196561,8115,85726
30,14176,976,14465,1274460,14380,9936,14465,1976985,14265,89306
30,9514,971,11671,868966,11594,6377,11671,1442102,11506,99455
30,7765,959,13399,719373,13384,8994,13399,1208513,13266,86160
30,6393,969,9800,558490,9713,6615,9800,1266824,9690,85327
30,12038,992,15887,1074090,15887,7081,15887,1252851,15607,83881
30,15651,952,14322,1395894,14322,11666,14322,1204823,14137,123671
30,12405,961,13548,1390408,13548,7155,13548,1437032,13357,87612
30,7083,974,12464,637390,12453,6650,12464,1237490,12304,85174
30,6164,941,10332,541250,10332,6075,10332,1189344,10194,111244
30,4267,965,10685,447881,10635,6374,10685,1297271,10566,91379
30,2839,979,6677,246467,6677,6311,6677,1322310,6575,158979
30,2358,987,7589,217054,7553,8107,7589,1361754,7484,105686
30,2450,949,6108,213482,5795,7311,6108,1362982,6026,98216
30,11884,980,13394,1134056,13340,6518,13394,1238986,13197,86501
30,8844,978,9782,781115,9748,5761,9782,1274391,9649,84611
30,7744,944,10523,689071,10523,6452,10523,1198556,10399,83983
30,11176,999,14838,998203,14838,6335,14838,1257172,14602,84412
30,14139,1000,17712,1264573,17712,6713,17712,1383948,17433,92990
30,4996,991,10900,485186,10900,6863,10900,1258845,10818,84504
30,9837,879,12564,924487,12564,7371,12564,1205542,12408,144966
30,5435,999,9514,527613,9456,6378,9514,1340318,9373,90305
30,11361,921,14068,1058477,14003,6875,14068,1168726,13937,86439
30,6094,922,13860,538929,13860,6186,13860,1702455,13707,88590
30,8637,972,14186,916422,14186,7225,14186,1284205,14029,86874
30,12663,823,12328,1142729,12328,6414,12328,1151700,12111,85453
30,3927,990,9984,347406,9880,5955,9984,1248605,9850,84851
30,4931,961,10432,432029,10278,7720,10432,1790441,10346,192271
30,15847,997,14526,2273649,14526,9377,14526,2486494,14240,153867
30,14494,954,15593,1919556,15593,9325,15593,1947727,15375,150014
30,12878,994,12956,1648752,12956,7013,12956,2227784,12739,156602
30,11242,982,13205,1462011,13205,17747,13205,2370383,13044,153889
30,7839,979,13747,961389,13741,6630,13747,2220482,13624,143777
30,3224,970,8740,391289,8699,6285,8740,2319081,8600,140467
30,4575,970,6398,550277,6344,7903,6398,2579287,6321,162194
30,11488,977,14248,1552684,14248,8513,14248,2268993,14036,159709
30,2186,981,5178,286891,5173,6796,5178,2343652,5117,149543
30,4876,984,10861,634791,10861,12654,10861,2447181,10758,159275
30,1716,857,5370,200291,5311,6781,5370,2175131,5313,148158
30,9535,974,13428,1258989,13318,7693,13428,2272485,13278,154182
30,14679,959,13640,1872322,13640,8906,13640,2180842,13394,147647
40,19964,940,20779,3665950,20779,86811,20779,4059953,20550,407626
40,9725,998,14861,1572321,14861,22994,14861,4352294,14732,448503
40,12650,962,18710,2325988,18611,35619,18710,4415670,18530,364899
40,4810,987,10415,851872,10415,28553,10415,4301780,10314,384279
40,7020,974,13519,1209519,13120,28541,13519,3994486,13416,375855
40,6363,983,13588,1027720,13555,22258,13588,4211485,13467,354199
40,4531,980,10609,763227,10609,21320,10609,4578820,10510,359418
40,11088,964,15708,1921638,15563,27831,15708,4205941,15556,366520
40,3307,979,10508,542807,10508,22056,10508,3352467,10414,196461
40,15784,970,19056,1878128,19056,25838,19056,2254484,18818,194611
40,17390,916,19284,2261772,19284,21274,19284,2194946,19098,292623
40,1601,976,6703,226098,6645,27761,6703,2387013,6649,196009
40,12090,997,17835,1435007,17835,19103,17835,3009631,17684,199658
40,2271,995,7681,334766,7681,19007,7681,2362961,7611,192564
40,8566,991,14293,1011343,14293,19757,14293,2258219,14121,193317
40,10330,968,14506,1247434,14506,17536,14506,2209316,14386,196164
40,17257,1000,22170,2178538,22170,20198,22170,2436708,21950,200482
40,5218,999,13228,623483,13131,17182,13228,2362369,13111,192405
40,12235,992,16150,1455017,16150,16694,16150,2932547,16020,200940
40,9227,957,15335,1257502,15216,18929,15335,2248218,15204,192433
40,2916,990,11492,334147,11263,16671,11492,2284777,11385,194174
40,12439,992,16470,1526208,16470,17973,16470,2271934,16293,193655
40,19892,957,20668,2517576,20668,23501,20668,3066104,20455,221236
40,9763,983,16373,1168111,16358,20652,16373,2262707,16219,193163
40,10629,993,17784,1261635,17728,17814,17784,2305904,17638,260467
40,8510,943,14190,1119487,14130,17911,14190,2154952,14062,192748
40,8202,952,11843,971413,11754,20472,11843,2740202,11733,203858
40,14518,986,18935,1735553,18918,18357,18935,2329066,18770,215483
40,4208,985,10242,544445,10242,19157,10242,2466735,10157,247386
40,17008,971,19171,2056409,19150,17875,19171,2960521,18970,201143
40,914,991,5668,93731,5631,15584,5668,2353085,5648,195397
40,17448,930,20720,2267336,20656,18450,20720,2223721,20541,202529
40,20529,939,19795,2482312,19791,19108,19795,2870812,19531,233198
40,11991,962,17600,1574524,17600,19911,17600,2299565,17436,195006
40,17639,996,17295,2140860,17254,18234,17295,2361139,17131,194954
40,18862,970,21352,2267695,21352,20080,21352,3113738,21097,201985
40,6528,994,14225,777934,14225,17692,14225,2311171,14077,193391
40,11687,999,15882,1387633,15882,16753,15882,2340632,15734,194160
40,4089,1000,11688,472672,11688,16411,11688,2370036,11550,244614
40,19097,887,17012,3850595,17012,34068,17012,2360642,16786,200636
40,6121,997,12799,719274,12799,19332,12799,2278956,12699,193606
40,15689,977,19066,2012295,18995,73300,19066,2664242,18856,211414
40,2087,952,5662,234989,5537,46853,5662,2318667,5604,208431
40,12999,932,16034,1544528,16034,37024,16034,2116770,15867,193342
40,21835,966,21615,2807552,21615,22547,21615,2258516,21360,194363
40,6641,983,14285,801764,14222,18299,14285,2240285,14155,193854
40,11871,971,14742,1407864,14742,17442,14742,2234638,14528,191075
40,16729,942,17756,2160551,17756,19015,17756,2142004,17556,192572
40,19718,985,18936,2374072,18935,31545,18936,2862218,18690,197396
40,10616,1000,17748,1268601,17648,18064,17748,2477520,17587,193533
40,18201,997,22887,2206685,22887,18180,22887,2602992,22681,201978
40,15029,984,21854,1840020,21854,17939,21854,2286001,21611,248986
40,4685,988,9768,582238,9768,18523,9768,2380013,9694,196987
40,6539,997,14171,781549,14105,27346,14171,2282215,14070,191517
40,16469,972,21045,1972398,21034,24613,21045,2855255,20849,196198
40,4979,989,11206,588674,11206,27611,11206,2425402,11113,193570
